season,crop,Type,Name of Disease and Insect,Advisory
Rabi,Greengram,Pest,Cercospora Leaf Spot,"Today we will discuss about leaf spot management in Greengram crop. Round, oval and irregular black-purple spots appear on both sides of the leaves. The leaves gradually turn yellow, dry up, and finally fall off. To manage spray Mancozeb 63%+ Carbendazim 12% WP @ 600-gram/acre or Hexaconazole @ 300 ml/acre. To spray the fungicide 200-litre of water per acre is required."
Rabi,Greengram,Pest,Powdery Mildew,"Today we’ll discuss about the Powdery mildew management of Greengram. Due to this disease, small patches of white powder coating initially develop on both surfaces of older leaves. The superficial growth ultimately covers the entire leaf area. The diseased areas turn brown and dry leading to premature defoliation and death. Fruits remain underdeveloped and are deformed. The disease also creates forced maturity of the infected plants which results in heavy yield losses. Treat the seeds with Carbendazim 50%WP @ 2 gram/ kg of seeds (Dry treatment). For biological control spray Trichoderma viridae 5 % L @ 1 ml/lit of water.  For chemical control spray Triadimefon 25% WP @ 200 g or Penconazole 10% EC @100ml or Karathane (Dinocap 48% EC) by mixing with 200 liters of water for 1 acre area. "
Rabi,Greengram,Pest,Anthracnose,"Let’s discuss about the Anthracnose disease management of Greengram. The symptom can be observed in all aerial parts of the plants and at any stage of crop growth. Small angular brown lesions appear on leaves, mostly adjacent to veins, which later become greyish white centre with dark brown or reddish margin. The lesions may be seen on the petioles and stem. Minute water-soaked lesion appears on the pods initially and becomes brown and enlarges to form circular, spot with dark centre with bright red or yellow margin. The infected pods have discoloured seeds. To control this disease, treat the seeds with Carbendazim or Mancozeb@ 2 gram per kg seeds and using foliar spray with Carbendazim 12%+Mancozeb 63% WP @400 gram or Copper Oxychloride 50% WG @600gram or Tebuconazole 25.9% EC @ 300 gram or Kasugamycin 3% SL @300 gram /200 lit of water per acre. "
Rabi,Greengram,Pest,Root rot,"Today we will discuss about management of Root rot in Greengram crop. When the soil is wet, the tip of the plant rots, the roots get rot just near the soil, and finally the plant dies completely. To manage root rot disease, drenching of root zone and soil should be done with Validamycin 3 % L @ 400-ml/acre. To spray the fungicide 200-litre of water per acre is required. "
Rabi,Greengram,Pest,Rust,"Let’s discuss about the Rust disease management of Greengram. The disease appears as circular reddish-brown spots which appear more commonly on the lower portion of the leaves. When leaves are severely infected, both surfaces are fully covered by rust pustules and shrivelling followed by defoliation resulting in yield losses. To control this disease, treat the seeds with Carbendazim or Mancozeb @2 gram per kg seeds. Dusting with sulphur 85% DP @6-8kg or doing foliar spray with the mixture medicines of Captan 70% +Hexaconazole 5% WP @ 0.6 gram or Difenoconazole 25% EC @0.5 ml/lit per acre. "
Rabi,Greengram,Pest,Bacterial Leaf Spot / Blight,"Let’s discuss about the Bacterial leaf blight disease management of Greengram. The fungus attacks all aerial part parts and at any stage of plant growth. Symptoms are circular, black, sunken spots with dark center and bright red orange margins on leaves and pods. In severe infections, the affected parts wither off. Seedlings get blighted due to infection soon after seed germination. To control this disease, treat the seeds with carbendazim/ Mancozeb or @ 2gram/kg seeds and using foliar spray with Streptocyclin (Streptomycin sulphate 90% + Tetracyclin hydrochloride 10%) SP@30 gram+ Copper oxychloride 50% WP @ 500g or (Streptomycin sulphate 9%+ Tetracyclin hydrochloride 1%) + Copper oxychloride 50% WP @ 300gram + 500gram /200 ltr of water per acre. "
Rabi,Greengram,Pest,Aphids,"Today we will discuss about Aphid management in Greengram. It sucks the sap from the stems, leaves, tips and pod, causing the plant to become weak, the leaves to turn yellow and the deformed seeds. This insect is a carrier of the mosaic viral disease. As a result, the leaves to turn yellow and curl. Flowering is delayed. Trimming of field bunds and cleaning for weed removal should be done. Split application of nitrogenous fertilizer should be followed. To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM @ 600-ml/acre by mixing it in 200-litre of water. Install 8-10 Nos of Yellow sticky traps per acre. At primary stage of infestation, spray Verticillium lecani @ 5 g/lit of water. Along with this broadcast 5000 no. of eggs of Chrysoperla carnea per acre by mixing with saw dust. Try to conserve other parasitoids in field like Coccinellid beetle and syrphid fly. To manage Aphids chemically spray Thiamethoxam 25% W.G @ 60 gram/acre or Acetamiprid 20% S.P. @ 50 gram/acre or Tolfenpyrad 15 % EC @ 400-ml/acre by mixing in 200 litres of water. Thank You."
Rabi,Greengram,Pest,Whitefly,"Today we will discuss about Whitefly management in Greengram. Because of sucking the sap from the leaves, the leaves turn yellow, curl and dry up and the plant becomes weak. It is a carrier of yellow vein mosaic disease. Trimming of field bunds and cleaning for weed removal should be done. Split application of nitrogenous fertilizer should be followed. To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM @ 600-ml/acre by mixing it in 200-litre of water. Install 8-10 Nos of Yellow sticky traps per acre. At primary stage of infestation, spray Verticillium lecani @ 5 g/lit of water. Along with this broadcast 5000 no. of eggs of Chrysoperla carnea per acre by mixing with saw dust. Try to conserve other parasitoids in field like Coccinellid beetle and syrphid fly. To manage Whitefly chemically spray Thiamethoxam 25% W.G @ 60 gram/acre or Acetamiprid 20% S.P. @ 50 gram/acre or Tolfenpyrad 15 % EC @ 400-ml/acre by mixing in 200 litres of water. Thank You."
Rabi,Greengram,Pest,Thrips,"Today we will discuss about Thrips management in Greengram. Very small, tiny insects suck the sap from leaves, flowers and stems, causing the leaves to curl. Trimming of field bunds and cleaning for weed removal should be done. Split application of nitrogenous fertilizer should be followed. To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM @ 600-ml/acre by mixing it in 200-litre of water. Install 8-10 Nos of Blue sticky traps per acre. At primary stage of infestation, spray Verticillium lecani @ 5 g/lit of water. Along with this broadcast 5000 no. of eggs of Chrysoperla carnea per acre by mixing with saw dust. Try to conserve other parasitoids in field like Coccinellid beetle and syrphid fly. To manage Thrips chemically spray Thiamethoxam 25% W.G @ 60 gram/acre or Acetamiprid 20% S.P. @ 50 gram/acre or Tolfenpyrad 15 % EC @ 400-ml/acre by mixing in 200 litres of water. Thank You."
Rabi,Greengram,Pest,Pod borer,"Today we will discuss about pod borer management in Greengram. The larvae of this insect first feed on the young leaves, then eat the growing pods or fruits by piercing the seeds. When eating the seeds, the insect head stays inside pod and half of its body is seen hanging outside.  To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 3000 PPM) @ 600-ml/acre by mixing in 200-litre of water. After 7-10 days, spray Bacillus thuringenesis @ 400 g/acre by mixing in 200-litre of water. For chemical control, spray Chlorpyriphos 50 % + Cypermethrin 5 % EC @ 400-ml/acre or Profenophos 50 % EC @ 400-ml/acre or Emamectin benzoate 5 % SG @ 90 g/acre or Chlorantraniliprole 18.5 % SC @80-ml/acre by mixing in 200-litre of water. Thank You."
Rabi,Greengram,Pest,Tobacco caterpillar,"Today we will discuss about Tobacco Caterpillar management in Greengram. Freshly hatched larvae are active in the evening and at night, feed gregariously by scraping the chlorophyll content of leaves. soon disperse, hiding usually in the soil around the base of the plants during the day. Later stage caterpillar feed voraciously so that only petioles and branches are left behind. Caterpillar bores into the groundnut pods and feed on them. Caterpillars also show migration from one plot to another in search of food. To manage this pest during primary stages of pest infestation proper surveillance should be done to collect and destroy egg mass and caterpillar of the pest. Monitor the emergence of adult moths by setting up Pheromone traps having Spodo lure @ 6-8 nos/acre. Check the migration of caterpillars by dusting with Chlorpyriphos 1.5 % D @ 10 kg around the field. For chemical control spray Novaluron 5.25 %+ Indoxacarb 4.25 % @ 400-ml/acre or Lambda Cyhalothrin 4.9 CS @ 300 ml or Flubendiamide 20 % WG  @ 120 gram. For spraying of insecticides 200 litre of water per acre is required. Thank You."
Rabi,Greengram,Pest,Stem fly,"The adult fly punctures tender leaves and stems for egg-laying. Maggots bore inside the stem, damaging internal tissues and blocking nutrient flow, leading to wilting or plant death. spray Chlorpyriphos 50 % + Cypermethrin 5 % E.C @ 200-ml/acre or Lambda Cyhalothrin 5% EC @ 300 ml/acre or Profenophos + Cypermethrin @ 200 ml/acre or Novaluron 10% EC @ 200 ml/acre by mixing with 200 litres of water. "
Rabi,Greengram,Pest,Pod fly,"The maggots bore into developing pods and feed on maturing seeds, causing significant yield and quality losses. Infestation is more severe during humid and cloudy weather. Remove and destroy affected pods during field inspection. To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM) @ 600-ml/acre by mixing in 200-litre of water. You can also use Trichogramma chilonis card @ (1-2)/acre (100000/ha) at weekly interval for 6 times by splitting each card into 12 pieces at the scheduled points. For chemical control, spray Chlorpyriphos 50 % + Cypermethrin 5 % E.C @ 200-ml/acre or Lambda Cyhalothrin 5% EC @ 300 ml/acre or Profenophos + Cypermethrin @ 200 ml/acre or Novaluron 10% EC @ 200 ml/acre during afternoon hours by mixing with 200 litres of water. "
Rabi,Greengram,Pest,Leafhopper,"Today we will discuss about Jassid management in Greengram. Nymphs suck the sap and because of continuous sucking of the sap from the leaves, the leaves turn yellow, curled and fall off and the plant becomes weak. Trimming of field bunds and cleaning for weed removal should be done. Split application of nitrogenous fertilizer should be followed. To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM @600-ml/acre by mixing it in 200-litre of water. Install 8-10 Nos of Yellow sticky traps per acre. To manage Jassids chemically spray Thiamethoxam 25 % WG @ 50-gram/acre or Acetamiprid 20 % SP @ 50-gram/acre or Fenobucarb @ 400-ml/acre or Tolfenpyrad 15 % EC @ 400-ml/acre by mixing it in 200-litre of water. Harvesting should be done minimum 1 week after insecticide spraying. Thank You."
Rabi,Greengram,Pest,Bihar Hairy Caterpillar,"Today we will discuss about the management of Bihar hairy caterpillar in Greengram cultivation. The caterpillars attack the young growing leaves, shoots in early stage and later they eat entire plant, causing the plant to appear stunted. Catch and kill the Bihar hairy caterpillar's butterfly by setting up a light traps @ 2/acre. Use Tricho cards (50,000- 100000 eggs) @ 2/acre. When there is dew in the morning dusting with Chloropyriphos 1.5% dust @ 10 kg per acre or spray with Profenophos @ 400 ml/acre or Profenophos + Cypermethrin @ 200 ml or Emamectin benzoate @ 80 g/acre in 200 liters of water."
Rabi,Greengram,Pest,Bacterial Wilt,"Let’s discuss about the Wilt disease management of Greengram. The crop may be affected by disease at any stage. Dead seedlings or matured plants, typically in patches, are the field symptoms of wilt. At the seedlings stage, after 3-5 weeks of sowing. Whole seedlings collapse and lying flat and on the ground with dull green leaves and a shrunken stem petioles and leaflets drop off at the adult stage, followed by the entire plants.  To control this disease deep summer ploughing should be done, always use disease free seeds and avoid sowing when temperatures are high. Treat the seeds with Tebuconazole 2% DS@ 2gram/kg of seed and drench the soil with Metiram 75% WG@ 300 gram with 200 ltr of water per acre. "
Rabi,Mustard,Pest,White rust ,"Today we will discuss about white rust disease in mustard crop. Symptoms are development of white to creamy yellow pustules on the lower leaf surface. The pustules, later coalesce to form patches. white fungal cover develops on the upper surface opposite the pustules. Spraying of Mancozeb +Metalaxyl @ 45 g/ 15 liter of water, copper oxychloride 50% WP @ 3 g/lit, Metalaxyl-M 31.8% ES @ 3.5ml/lit of water is recommended."
Rabi,Mustard,Pest,Alternaria blight ,"Today we will discuss about Alternaria leaf spot disease management in Mustard. Due to the Alternaria disease incidence, first small dark greyish brown coloured spots appear on the leaves. Finally, these spots coalesce leading to blighting of leaves. Wilting and defoliation of leaves occurs at later stage. Apart from cabbage and cauliflower the disease incidence can also be observed in broccoli and mustard crop. To manage this disease in Cole crops spray Mancozeb 75 % WP @ 600-gram/acre or carbendazim 12 % + Mancozeb 63 % WP @ 400-gram/acre or Hexaconazole 5% SC @ 400ml   by mixing in 200-litre of water."
Rabi,Mustard,Pest,Downy mildew ,Due to the disease incidence light green and later greyish white irregular necrotic patches develop on the lower surface of leaves and white spots appear on the upper leaf surface. Severely infected leaves become dry. To manage Downey Mildew disease in mustard crop spray Metalaxyl 8% + Mancozeb 64% W.P @ 400- gram/acre.
Rabi,Mustard,Pest,Sclerotinia Stem rot,Today we will discuss about stem rot disease management in Mustard. The first disease symptom is the sudden drying of a branch which is completely or partially in contact with the soil. The leaves turn yellowish to brown and dry but remain attached to the plant. Near soil on stems white growth of fungus mycelium is appeared. To manage stem rot drench soil with Validamycin 3% L @ 400-ml/acre or Captan 70 % + Hexaconazole 5 % WP @ 300-gram/acre. Thank You.
Rabi,Mustard,Pest,Mustard aphid ,"To avoid aphid infestation, Proper land preparation and water management should be done, avoid stagnant water. To manage aphids at early stage, put 8 number of yellow sticky traps per acre. Periodic release of Crysoperla carnea grub can be done @20000 per acre.You can also use Verticillium lecanii bio pesticide @ 5 g per lit of water. Spray Neem based pesticide 15000 PPM @ 600-ml/acre by mixing in 200-litre of water. If the infestation is severe then spray chemical pesticides like Thiamethoxam 25 % WG @ 60-gram/acre or Acetamiprid 20 % SP @ 60-gram/acre in 200-liter of water. Conservation of natural enemies like Syrphids, Crycophids, Coccinellids through habitat management."
Rabi,Mustard,Pest,Mustard sawfly,"Today we will discuss about sawfly management in mustard crop. Black colour caterpillar of Mustard Saw fly feeds on young leaves and skeletonize the leaves completely during nighttime. They hide in daytime. Sometimes they feed on the epidermis of emerging shoots. Older plants when attacked don’t bear seeds. To manage this pest in mustard crop, irrigation should be done in seedling stage )3-4 weeks) because most of the larvae dies due to drowning effect. Manually collect and destroy grubs of sawfly in morning and evening hours. To manage Sawfly chemically spray Ethofenprox 10 % EC @ 200-ml/acre or Chlorpyriphos 50% + Cypermethrin 5 % E.C @ 400 ml/acre by mixing it in 200 litre of water."
Rabi,Mustard,Pest,Diamondback moth ,"Today we will discuss about Diamond Back Moth insect management in Mustard. The damage is caused by the larvae that dig tunnels in the leaf tissues or scrap the epidermal leaf tissues of the lower surface of the leaf blade producing typical whitish patches on leaves. To manage this pest, install 5 nos of light traps per acre. During primary stage of pest infestation spray Bacillus thuringiensis @ 2 g/lit and add few drops of Robbin blue liquid detergent in the sprayer. Release three times 1-2 Tricho card per acre at weekly interval. To manage this pest chemically spray Tolfenpyrad 15 % EC @ 400-ml/acre or Flubendiamide 20 % WG @ 20-gram/acre or Emamectin Benzoate 5 % SG @80-gram/acre by mixing in 200-litre of water."
Rabi,Mustard,Pest,Cabbage butterfly ,"The larvae of this pest defoliate the leaves and bores into the heads of fruits vigorously. Apply Bacillus thuringenesis @ 400 g/acre or Beauveria bassiana @ 500 g/acre. For chemical control, spray Chlorpyriphos 50 % + Cypermethrin 5 % E.C @ 200-ml/acre or Lambda Cyhalothrin 5% EC @ 300 ml/acre or Profenophos + Cypermethrin @ 200 ml/acre or Novaluron 10% EC @ 200 ml/acre during afternoon hours by mixing with 200 litres of water. Thank You."
Rabi,Mustard,Pest,Leaf miner ," Caterpillars attack tender leaves and feed on the epidermis making silvery appearance on the lower surface of leaves. Leaves become distorted and crinkled and ultimately defoliation occurs. To prevent these pests avoid spilt application of nitrogenous fertiliser, thourough weeding can be done, proper water management should be done.To manage these pests at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM) @ 600-ml/acre by mixing in 200-litre of water. Use yellow sticky trap @ 8/acre. Install Light trap@1-2 per acre. You can also use Trichogramma chilonis card @ (1-2)/acre (100000/ha) at weekly interval for 6 times by splitting each card into 12 pieces at the scheduled points. To manage these pests chemically spray Thiamethoxam 25 % WG @ 60-gram /acre or Emamectin Benzoate 5 % SG @ 80- gram/acre or Spinosad 45 % SC @ 75 ml/acre by mixing in 200 litre of water. Thank You."
Rabi,Mustard,Pest,Leaf webber ,"Today we will discuss about management of Webber management in Mustard crop. When the mustard plant is young, the buds and leaves are webbed like a net and eaten by the insects, and the plant does not grow properly and even doesn’t produce flowers and fruits. They also webbed up the leaves and branches and eat the leaves, making the plant look like a barren tree. They make holes in flowers, pod and eat the seeds and stem. To manage at early stage of infestation spray neem-based pesticide (Neem Oil 1500 PPM) @ 600-ml/acre by mixing in 200-litre of water. After 7-10 days, spray Bacillus thuringenesis @ 500 g/acre by mixing in 200-litre of water. For chemical control, spray Ethofenprox 10 % EC @ 200-ml/acre or Chlorpyriphos 50% + Cypermethrin 5 % E.C @ 400 ml/acre by mixing it in 200 litre of water. Apply the insecticides in the afternoon hours so that the movement of Honeybees will not be disturbed."
Rabi,Mustard,Pest,Painted bug ,let us discuss about mangement of painted bug in mustard. Both the nymph and adult suck leaf and stem sap resulting in poor growth and yellowing of the leaves and pods. It is controlled by application of Acetamiprid @ 60 gram/acre or Thiamethoxam 25% WG @ 60 gram/acre. Use 200 liters of water for spraying in one acre of land.
Rabi,Mustard,Pest,Dry Root Rot,"Today we will discuss about management of Root rot in Mustard crop. When the soil is wet, the tip of the plant rots, the roots get rot just near the soil, and finally the plant dies completely. To manage root rot disease, drenching of root zone and soil should be done with Validamycin 3 % L @ 400-ml/acre. To spray the fungicide 200-litre of water per acre is required. Spray the root part of the plant with Metalaxyl M 8% + Mancozeb 64% W.P. @ 500 gram or Carbendazim 12% + Mancozeb 63% W.P. @ 400 gram/ 200 liters of water."
Rabi,Paddy,Pest,Bacterial Leaf Blight,"Today we will discuss about Bacterial leaf blight disease management in Paddy crop. Circular to oval brown to dark brown spots appear on the leaves, leaf sheath and glumes. Most spots have a light yellow halo around their margins and are evenly distributed over the leaf surface. In severe cases, the grains are covered with dark velvety coloured fructification of the fungus and the grains become shrivelled and discoloured. If the disease incidence seen, then drain out water from the paddy field. For prevention, treat the seeds with Tricyclazole @ 1 g/kg of seed or Captan @ 2.5g/kg of seeds or Thiram @ 3 g/kg of seeds or Carbendazim 1 g/kg of seeds or Carboxin (37.5%)+Thiram (37.5%) @ 2g/kg of seeds. Remove the weeds and keep the field clean. Avoid excess use of “Nitrogenous” Fertilizer. Apply MOP @ 10 kg/acre. To manage this disease organically mix 20-kg of fresh cow dung with 200 litres of water. Filter it with fine cloth and spray the solution in one acre. To manage this disease chemically, spray Copper Hydroxide 53.8% DF @ 600-gram/acre or 200-gram Plantomycin along with Copper Oxychloride 50% WP @ 400-gram/acre."
Rabi,Paddy,Pest,Yellow Stem Borer,"Today we will discuss about stem borer management in paddy crop. Damage is caused by larvae feeding within the stem, severing the vascular system. ”Dead heart” is the damage symptom of the tiller before flowering. ‘Dead heart' is easily pulled out from the tiller. Symptoms of damage by larval feeding is indicated by frass in a culm, or discolouration and exit holes on the leaf sheaths and culm. When damage occurs before maximum tillering, the plant partially compensates by producing additional tillers. “White ear head” is the damage symptom caused after flowering, resulting in chaffy earheads. It causes the entire panicle chaffy. The chaffy panicle is pulled out easily. Clip off the seedling tips while transplanting to destroy borer eggs.Install solar light trap @ 2/ acre. Provide cage-cum-bird percher @ 8-10/ac. Fix pheromone traps for YSB @ 8/ac. If more than 5% tillers are infected by stemborer, broadcast granular insecticide Chlorantraniliprole 0.4 % GR @ 4-kg/acre or Cartap hydrochloride 4G @ 8-kg acre by mixing it with sand at 1:1 ratio or release Trichogramma japonicum card @ 2/acre at weekly interval from 30 DAP upto 6 weeks or spray Chlorantraniliprole 18.5 % SC @ 60-ml/acre or Indoxacarb 15.8% EC @ 400 ml/acre."
Rabi,Paddy,Pest,Rice Hispa,"Today we will discuss about management of rice hispa. It is a small black coloured thorny insect seen sitting on leaves. Leaves become white. To prevent this pest summer ploughing should be done properly. In case of pest attack, apply Carbofuran @ 10 kg/acre in field and maintain standing water in the field. Instead of this you can also apply Chlorpyriphos 20% EC @ 500 ml/acre or Lambda cyhalothrin 2.5% EC @ 200 ml/acre."
Rabi,Paddy,Pest,Thrips,"Today we will discuss about management of Thrips. Symptoms appear as discoloration,rolling and drying of leaves from tip to base of leaves.Yellow or silvery streaks appear on the leaves of young seedlings. It causes damage both in nursery and main field. To prevent this pest avoid excessive nitrogen fertilizer. Early or timely sowing. Use Blue sticky traps (6-8/acre) to monitor and reduce adult population. Release Chrysoperla carnea eggs or larvae @ 5000/acre. Apply Azadirachtin 0.15% EC @ 3–5 ml/liter. If ETL level reach 8–10 thrips/leaf or 20% infested plants then for control of thrips chemically, spray Imidacloprid 17.8 SL @ 50 ml or Thiamethoxam 25 WG @ 40g or Acetamiprid 20 SP @ 40g /ac in 200 litres of water. Rotate chemicals to prevent resistance buildup."
Rabi,Paddy,Pest,Brown spot,"Today we will discuss about management of Brown spot disease in Paddy crop. It is fungal disease in rice. The disease causes dark brown spots on the leaves. To prevent this disease, seed treatment should be done with Carboxin 75%+ Thiram 37.5% DS @ 2 gm per kg of seed before sowing of seeds. To manage this disease organically, foliar spray with Trichoderma viridae @ 200 ml/acre by mixing in 200-litre of water.  To manage this disease spray Mancozeb 75% WP @ 600-g/acre or Carbendazim 50% WP @ 400-g/acre by mixing in 200-litre of water. Thank you."
Rabi,Paddy,Pest,Leaf Blast,"Today we will discuss about Blast disease management in Paddy. Initial symptoms of the disease on the leaves are white to grey-green lesions or spots, with dark green borders. Older lesions on the leaves are elliptical or spindle-shaped and whitish to greyish centre with red to brownish or necrotic border. Several spots coalesce to form big irregular patches. Severely affected leaves become dried. If the disease incidence seen than drain out excess water from the paddy field. For prevention, treat the seeds with Tricyclazole @ 1 g/kg of seed or Captan @ 2.5g/kg of seeds or Thiram @ 3 g/kg of seeds or Carbendazim 1 g/kg of seeds or Carboxin (37.5%)+Thiram (37.5%) @ 2g/kg of seeds. Remove the weeds and keep the field clean. To manage this disease spray Hexaconazole 5 % SC @ 400-ml/acre or Azoxystrobin 18.2% + Difenoconazole 11.4 % S.C @ 200-ml/acre or Tebuconazole 50%+ Trifloxystrobin 25 % WG @ 80-gram/acre."
Rabi,Paddy,Pest,Foot Rot,"Today we will discuss about foot rot disease management in paddy. Due to foot rot disease infected plants are several inches taller than normal plants in field. Plants appear thin and having yellowish green leaves and pale green flag leaves. Drying of seedlings occurs at early tillering. Drying of leaves at late infection. To prevent this disease seed treatment should be done with Carbendazim 50 % WP @ 2- gram/ kg of seeds or Carboxin 37.5 % + Thiram 37.5% D.S WP @ 2 gm/kg of seeds. Dip the seedlings in the solution of Trichoderma harzianum 2% AS @ 30 ml/lit of water for 30 minutes before transplanting in the main field. To manage the disease chemically, spray the basal portion of the crop with Metalaxyl 8% +Mancozeb 64% WP @ 400-gram/acre or Carbendazim 12% +Mancozeb 63% WP @ 400-gram/acre after draining the water."
Rabi,Paddy,Pest,Sheath Blight,Today we will discuss about sheath blight disease management in paddy crop. Initial symptoms of the disease are noticed on leaf sheaths near water level. On the leaf sheath oval or elliptical or irregular greenish grey lesions are formed. Lesions gradually coalesce together and extend to leaf blades and give the appearance of snake scales. The infection extends to the inner sheaths resulting in death of the entire plant. The leaves are easily detachable when pulled out. If the disease incidence seen then drain out excess water from the paddy field. For biological control apply Trichoderma viridae @ 5-10 g/litre of water for thrice at an interval of 15 days starting from 30 DAT. To manage this disease chemically spray Validamycin 3 % L @ 400-ml/acre or Hexaconazole 5 % SC @ 400-ml/acre or Tebuconazole 50%+ Trifloxystrobin 25 % WG @ 80-gram/acre.
Rabi,Paddy,Pest,Swarming Caterpillar,"Today we will discuss about swarming caterpillar management in paddy crop. Larvae came out night and cut the seedlings in large scale. Cattle grazed appearance is found at severely infested fields. They feed gregariously and march from field to field. Manual destruction of egg masses on rice seedlings. Install 1 light traps to attract adult moths. The crop, then be treated with Chlopyriphos 1.5% dust @ 10-12 kg per acre during evening hours or foliar spray with Chlorpyriphos 50%+Cypermethrin 5% EC @ 400 ml/acre or Profenophos 50% EC @ 400 ml/acre. After spraying the affected fields heavy dusting with chlorpyriphos 1.5% DP maybe done on the field bunds surrounding the affected fields to check their migration."
Rabi,Paddy,Pest,Leaf Folder,"Today we will discuss about management of Leaf Folder management in paddy crop. Larvae feed on leaf tissue, rendering it white and as they become older, fold the leaf to form a tube. Larval feeding results in white and transparent streaks. Population occurs within the folded portion, severely damaged plants appear burnt. Do proper surveillance in paddy fields (5 plants/m2) infested with leaf folder. If the number of  freshly infested leaves are less than 2/m2 then apply organic pesticides as 1500 PPM @ 600 ml/acre or Bacillus Thuringiensis @ 400 gram/acre or Beauveria bassiana @ 500 gram/acre. Flooding of the field should be done which brings out the larvae to the surface.  Apply 60 ml Imidacloprid per acre and then move a string over the paddy crop by stretching at both the ends of the field. By this method the larva of insects falls to the water and gets killed. In case of pest infestation use Trichogramma chilonis card @ 1-2/acre (10000 eggs/ha) at weekly interval for 6 times by splitting each card into 12 pieces at the given perforations. To manage Leaf Folderin paddy spray Bifenthrin 10% EC @ 200 ml/acre or Lambda Cyhalothrin 5% EC @ 200-ml/acre or Fipronil 5% SC @ 400-ml/acre."
Rabi,Paddy,Pest,Caseworm,"Today we will discuss about management of Caseworm management in paddy crop. The caterpillars cut the leaves and form tubular cases. They remain in cases and feed on the green matter of the leaves leaving the upper epidermis, which is papery white. Cut leaves found at the side of the paddy plant, where they may be carried by water, appear as if snipped off. Severely attacked fields show a typical white appearance from damaged plant tips. Do proper surveillance in paddy fields (5 plants/m2) infested with  case worm. If the number of  freshly infested leaves are less than 2/m2 then apply organic pesticides as 1500 PPM @ 600 ml/acre or Bacillus Thuringiensis @ 400 gram/acre or Beauveria bassiana @ 500 gram/acre. Flooding of the field should be done which brings out the larvae to the surface.  Apply 60 ml Imidacloprid per acre and then move a string over the paddy crop by stretching at both the ends of the field. By this method the larva of insects falls to the water and gets killed. In case of pest infestation use Trichogramma chilonis card @ 1-2/acre (10000 eggs/ha) at weekly interval for 6 times by splitting each card into 12 pieces at the given perforations. To manage Leaf Folder and Case Worm pests in paddy spray Bifenthrin 10% EC @ 200 ml/acre or Lambda Cyhalothrin 5% EC @ 200-ml/acre or Fipronil 5% SC @ 400-ml/acre."
Rabi,Paddy,Pest,Sheath Rot,Today we will discuss about the management of Sheath rot disease in paddy crop. Initial symptoms of the disease are noticed only on the upper most leaf sheath enclosing young panicles at late boot leaf stage. The flag leaf sheath shows oblong or irregular greyish brown spots. They enlarge and develop grey centre and brown margins covering major portions of the leaf sheath. Non emergence or partial emergence of panicles and chaffy grains are there in panicles. If the disease incidence seen than drain out excess water from the paddy field. Keep fire tourch @ 5-8  To manage this disease spray twice at 10 days interval starting from boot leaf stage with Carbendazim 50% WP  @ 400-gram/acre or Propiconazole 25% EC @ 200-ml/acre or Iprodine 25% + Carbendazim 25% WP @ 500-gram/acre by mixing in 200-litre of water.
Rabi,Paddy,Pest,Gall Midge,"In gall midge affected field, onion leaf or silver shoot are seen. Once the pest infestation occurs, medication does not work. Therefore, from the beginning, select varieties that are resistant to this pest, such as Samlei, Bhoi, Gauri, Lalat etc. Go for early sowing or transplanting. Clear weeds from the field. Add 2.5 ml of Imidacloprid to every liter of water and soak it for 3 hours before sowing the paddy. If you notice the attack of gall midge in the field, immediately apply Carbofuran 3%G @ 12 kg or Fipronil 0.3% G @ 10 kg or Cartap hydrochloride 4G @ 10 kg per acre to the granular soil and keep water for 72 hours. Apply Fipronil 5% SC @ 400 ml or Lambda cyhalothrin 5% EC @ 100 ml in 200 liters of water per acre in the affected fields instead of spraying. Thank you"
Rabi,Paddy,Pest,Green Leafhopper,"Today we will discuss about management of Green leaf hopper in Paddy crop.They suck the plant sap causing yellowing of leaves and affect the growth, vigour and number of tillers of the plant. They are important vectors of viruses that cause rice dwarf, transitory yellowing, tungro and yellow dwarf diseases. Maintain optimum plant population. Spray neem based pesticides (300 ppm) @ 5 ml per litre (1 l/ac) or 1500 ppm @ 3 ml/l (600 ml/ac) at the base of the plant. If leaf hopper population is more, spray the crop with Thiamethoxam 25 WG @ 40g or Clothianidin 50 WDG @ 20 g or Ethofenprox 10 EC @ 200 ml or Dinotefuran 20 SG @ 60-80 g @ 50 ml per acre in 200 litres of water. "
